err sys SYSTEM LOG:
 58. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:56:36  # Sonos System - Error Getting Favorites.
 59. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:57:17  # Sonos System - Error Getting Favorites.
 60. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:57:58  # Sonos System - Error Getting Favorites.
 61. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:58:39  # Sonos System - Error Getting Favorites.
 62. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:59:20  # Sonos System - Error Getting Favorites.
 63. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:00:01  # Sonos System - Error Getting Favorites.
 64. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:00:42  # Sonos System - Error Getting Favorites.
 65. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:01:23  # Sonos System - Error Getting Favorites.
 66. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:02:04  # Sonos System - Error Getting Favorites.
 67. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:02:45  # Sonos System - Error Getting Favorites.
 68. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:03:26  # Sonos System - Error Getting Favorites.
 69. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:04:07  # Sonos System - Error Getting Favorites.
 70. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:04:48  # Sonos System - Error Getting Favorites.
 71. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:05:29  # Sonos System - Error Getting Favorites.
 72. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:06:10  # Sonos System - Error Getting Favorites.
 73. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:06:51  # Sonos System - Error Getting Favorites.
 74. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:07:32  # Sonos System - Error Getting Favorites.
 75. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:08:13  # Sonos System - Error Getting Favorites.
 76. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:08:54  # Sonos System - Error Getting Favorites.
 77. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:09:35  # Sonos System - Error Getting Favorites.
 78. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:10:16  # Sonos System - Error Getting Favorites.
 79. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:10:57  # Sonos System - Error Getting Favorites.
 80. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:11:38  # Sonos System - Error Getting Favorites.
 81. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:12:20  # Sonos System - Error Getting Favorites.
 82. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:13:01  # Sonos System - Error Getting Favorites.
 83. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:13:42  # Sonos System - Error Getting Favorites.
 84. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:14:23  # Sonos System - Error Getting Favorites.
 85. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:15:04  # Sonos System - Error Getting Favorites.
 86. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:15:45  # Sonos System - Error Getting Favorites.
 87. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:16:26  # Sonos System - Error Getting Favorites.
 88. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:17:07  # Sonos System - Error Getting Favorites.
 89. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:17:48  # Sonos System - Error Getting Favorites.
 90. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:18:29  # Sonos System - Error Getting Favorites.
 91. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:19:10  # Sonos System - Error Getting Favorites.
 92. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:19:51  # Sonos System - Error Getting Favorites.
 93. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:20:32  # Sonos System - Error Getting Favorites.
 94. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:21:13  # Sonos System - Error Getting Favorites.
 95. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:21:54  # Sonos System - Error Getting Favorites.
 96. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:22:35  # Sonos System - Error Getting Favorites.
 97. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:23:16  # Sonos System - Error Getting Favorites.
 98. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:23:57  # Sonos System - Error Getting Favorites.
 99. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:24:38  # Sonos System - Error Getting Favorites.
100. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:25:19  # Sonos System - Error Getting Favorites.
101. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:26:00  # Sonos System - Error Getting Favorites.
102. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:26:41  # Sonos System - Error Getting Favorites.
103. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:27:22  # Sonos System - Error Getting Favorites.
104. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:28:03  # Sonos System - Error Getting Favorites.
